🕘️更新时间,#genre#
2025-04-14 06:21:38,https://cdn5.163189.xyz/live/cctv1/stream.m3u8

📺央视频道,#genre#
CCTV-1,https://cdn5.163189.xyz/live/cctv1/stream.m3u8
CCTV-1,http://php.jdshipin.com/TVOD/iptv.php?id=rthk33
CCTV-1,http://php.jdshipin.com:8880/TVOD/iptv.php?id=rthk33
CCTV-1,http://113.140.12.230:8888/newlive/live/hls/15/live.m3u8
CCTV-1,http://47.122.125.40:6666/hls/cctv1hd.m3u8
CCTV-1,http://[2409:8087:1a0a:df::4031]:80/wh7f454c46tw705163907_345094122/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV-1,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000311/index.m3u8?IASHttpSessionId=
CCTV-1,http://[2409:8087:74d9:21::6]:80/270000001128/9900000001/index.m3u8
CCTV-1,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010011/1.m3u8
CCTV-1,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010011/index.m3u8
CCTV-2,http://113.140.12.230:8888/newlive/live/hls/3/live.m3u8
CCTV-2,http://47.122.125.40:6666/hls/cctv2hd.m3u8
CCTV-2,https://api.olelive.com/dis/live/CCTV2HD/hls.m3u8
CCTV-2,http://39.170.52.236:808/hls/2/index.m3u8
CCTV-2,http://ms.fxim.net:808/hls/2/index.m3u8
CCTV-2,http://[2409:8087:1a01:df::406f]:80/wh7f454c46tw1241164675_1575082505/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8?icpid=88888888&RTS=1713968070&from=4&hms_devid=692&prioritypopid=4&online=1713968070&vqe=3
CCTV-2,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000317/index.m3u8?IASHttpSessionId=
CCTV-2,http://[2409:8087:74d9:21::6]:80/270000001128/9900000502/index.m3u8
CCTV-2,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010211/1.m3u8
CCTV-2,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/2/224/3221225588/2.m3u8
CCTV-3,http://113.140.12.230:8888/newlive/live/hls/4/live.m3u8
CCTV-3,http://47.122.125.40:6666/hls/cctv3hd.m3u8
CCTV-3,https://api.olelive.com/dis/live/CCTV3HD/hls.m3u8
CCTV-3,http://39.170.52.236:808/hls/3/index.m3u8
CCTV-3,http://ms.fxim.net:808/hls/3/index.m3u8
CCTV-3,http://[2409:8087:1a0a:df::404e]:80/wh7f454c46tw1306766403_-33994166/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV-3,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000371/index.m3u8?IASHttpSessionId=
CCTV-3,http://[2409:8087:74d9:21::6]:80/270000001128/9900000003/index.m3u8
CCTV-3,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010212/1.m3u8
CCTV-3,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/2/224/3221226021/2.m3u8
CCTV-4,http://php.jdshipin.com:8880/bst2.php?id=cctv4k/15000000
CCTV-4,http://113.140.12.230:8888/newlive/live/hls/5/live.m3u8
CCTV-4,http://47.122.125.40:6666/hls/cctv4hd.m3u8
CCTV-4,https://api.olelive.com/dis/live/CCTV4HD/hls.m3u8
CCTV-4,http://39.170.52.236:808/hls/4/index.m3u8
CCTV-4,http://[2409:8087:5e00:24::2d]:6610/000000001000/1/1000000005000265004/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265004&livemode=1&stbId=YanG-1989
CCTV-4,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000320/index.m3u8?IASHttpSessionId=
CCTV-4,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000350/index.m3u8?IASHttpSessionId=
CCTV-4,http://[2409:8087:74d9:21::6]:80/270000001128/9900000503/index.m3u8
CCTV-4,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010017/1.m3u8
CCTV-5,http://113.140.12.230:8888/newlive/live/hls/6/live.m3u8
CCTV-5,http://47.122.125.40:6666/hls/cctv5hd.m3u8
CCTV-5,https://api.olelive.com/dis/live/CCTV5HD/hls.m3u8
CCTV-5,http://39.170.52.236:808/hls/5/index.m3u8
CCTV-5,http://ms.fxim.net:808/hls/5/index.m3u8
CCTV-5,http://[2409:8087:1a0a:df::4017]:80/wh7f454c46tw1517328845_1706942365/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV-5,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000372/index.m3u8?IASHttpSessionId=
CCTV-5,http://[2409:8087:74d9:21::6]:80/270000001128/9900000005/index.m3u8
CCTV-5,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010139/1.m3u8
CCTV-5,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010145/index.m3u8
CCTV-5+,http://47.122.125.40:6666/hls/cctv5phd.m3u8
CCTV-5+,https://api.olelive.com/dis/live/CCTV5PHD/hls.m3u8
CCTV-5+,http://39.170.52.236:808/hls/18/index.m3u8
CCTV-5+,http://ms.fxim.net:808/hls/13/index.m3u8
CCTV-5+,http://60.223.224.176:8888/newlive/live/hls/7/live.m3u8
CCTV-5+,http://[2409:8087:1a0a:df::4032]:80/wh7f454c46tw1559678945_883095252/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
